Latitude,Longitude,Date,MODIS_Tile,MOD17A2H_061_Line_Y_500m,MOD17A2H_061_Sample_X_500m,MOD17A2H_061_Gpp_500m,MOD17A2H_061_Psn_QC_500m,MOD17A2H_061_Psn_QC_500m_bitmask,MOD17A2H_061_Psn_QC_500m_MODLAND,MOD17A2H_061_Psn_QC_500m_MODLAND_Description,MOD17A2H_061_Psn_QC_500m_Sensor,MOD17A2H_061_Psn_QC_500m_Sensor_Description,MOD17A2H_061_Psn_QC_500m_DeadDetector,MOD17A2H_061_Psn_QC_500m_DeadDetector_Description,MOD17A2H_061_Psn_QC_500m_CloudState,MOD17A2H_061_Psn_QC_500m_CloudState_Description,MOD17A2H_061_Psn_QC_500m_SCF_QC,MOD17A2H_061_Psn_QC_500m_SCF_QC_Description
-21.2333333333333,-49.35,2021-01-01,h13v11,296.0,960.0,0.0356,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
-21.2333333333333,-49.35,2021-01-09,h13v11,296.0,960.0,0.0387,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
-21.2333333333333,-49.35,2021-01-17,h13v11,296.0,960.0,0.0315,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
-21.2333333333333,-49.35,2021-01-25,h13v11,296.0,960.0,0.0308,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
-21.2333333333333,-49.35,2021-02-02,h13v11,296.0,960.0,0.0453,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
-21.2333333333333,-49.35,2021-02-10,h13v11,296.0,960.0,0.0346,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
-21.2333333333333,-49.35,2021-02-18,h13v11,296.0,960.0,0.0309,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
-21.2333333333333,-49.35,2021-02-26,h13v11,296.0,960.0,0.0383,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
-21.2333333333333,-49.35,2021-03-06,h13v11,296.0,960.0,0.0439,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
-21.2333333333333,-49.35,2021-03-14,h13v11,296.0,960.0,0.0391,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
